there are 2 files need to be parsed
there are 2 files have been parsed.
there are 264 MetaMap terms found.
['24157031', 'C0443252', 'Temporal Concept', 'Long-term', 'Long Term', 'Phrase: Long-term outcome of liver transplantation']
['24160788', 'C1518422', 'Functional Concept', 'Negation', 'Not', 'Phrase: not']
['24160788', 'C0332281', 'Qualitative Concept', '', 'Associated with ', 'Phrase: associated with high-grade dysplasia']
['24160788', 'C0334048', 'Cell or Molecular Dysfunction', 'Severe dysplasia', 'High grade dysplasia', 'Phrase: associated with high-grade dysplasia']
['24160788', 'C1306459', 'Neoplastic Process', 'Primary malignant neoplasm', 'Cancer', 'Phrase: cancer']
['24160788', 'C0543467', 'Health Care Activity', 'Operative Surgical Procedures', 'Surgery', 'Phrase: thus surgery']
['24160788', 'C1518422', 'Functional Concept', 'Negation', 'Not', 'Phrase: not']
['24160788', 'C1514873', 'Functional Concept', 'Requirement', 'Required', 'Phrase: required.']
['24160788', 'C2827755', 'Laboratory or Test Result', 'Antimicrobial Intermediate Susceptibility Result', 'INTERMEDIATE', 'Phrase: Intermediate-']
['24160788', 'C0748864', 'Finding', 'small size', 'small sized', 'Phrase: small-sized polyps']
['24160788', 'C0032584', 'Anatomical Abnormality', 'polyps', 'POLYPS', 'Phrase: small-sized polyps']
['24160788', 'C0150369', 'Health Care Activity', 'Preventive monitoring', 'monitor', 'Phrase: monitored with serial ultrasound,']
['24160788', 'C0031082', 'Intellectual Product', 'Periodicals', 'serial', 'Phrase: monitored with serial ultrasound,']
['24160788', 'C1875843', 'Medical Device', 'ultrasound device', 'ULTRASOUND', 'Phrase: monitored with serial ultrasound,']
['24160788', 'C0332239', 'Temporal Concept', '', 'Young ', 'Phrase: especially in younger, asymptomatic       patients']
['24160788', 'C0231221', 'Finding', '', 'Asymptomatic ', 'Phrase: especially in younger, asymptomatic       patients']
['24160788', 'C0030705', 'Patient or Disabled Group', '', 'Patients ', 'Phrase: especially in younger, asymptomatic       patients']
['24160788', 'C0596244', 'Quantitative Concept', 'cancer risk', 'Malignancy risk', 'Phrase: the risk of malignancy']
['24160788', 'C1550472', 'Intellectual Product', 'low confidentiality', 'low', 'Phrase: low.']
